variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M97T81_3_NEG,97.19081287042647,80.56025,4651040.665906249,4938937.166992543,5838404.786611804,4573899.8572640605
M97T399_NEG,97.46607026055561,399.153,1973527.356144913,1935944.1414265612,1969274.3618259367,2192523.568910158
M97T430_NEG,97.46589449910309,429.5475,728860.3757424993,1018833.0784357252,823400.8295306398,873219.6741119381
M97T252_NEG,97.46601703920349,251.79399999999998,1542267.729729108,2409183.296339433,1715811.4746830163,1380573.7665872388
M97T452_NEG,97.4660997502515,451.601,871879.5224388557,NA,991530.5551593752,929170.2915759429
M97T77_NEG,97.46605630600912,77.3354,NA,2531740.4957085415,3896539.7932501663,3681295.7181532173
M97T930_NEG,97.46593249201032,929.806,NA,928717.545674809,NA,1526631.986701489
M98T81_1_NEG,97.65761764974958,81.4235,NA,838309.052859961,580165.5470789066,1230218.4918230802
M98T81_2_NEG,97.95779813915784,80.56025,26689136.292043112,30488625.422265097,26524612.10582612,27452403.17924015
M98T985_NEG,98.02327709996456,985.3165,8068841.566223173,10145915.605660005,15868498.242971208,19369166.4142336
M99T81_NEG,98.95425449245604,80.5874,171775691.00166667,168740981.10727122,167944645.67035714,168627442.8854571
M100T931_NEG,99.92428400785623,930.624,13871176.579240164,15055933.178335836,14721852.425797101,14396358.69912119
M100T1074_NEG,100.00247790302922,1074.005,10052068.66363637,17400411.238934375,5432217.84328128,10421585.04105474
M100T990_NEG,100.00246890134902,989.836,14873760.510172589,NA,6803402.629489553,15243885.015086612
M100T1029_NEG,100.00249288801125,1028.835,NA,NA,8652434.939968713,9825729.974918446
M100T100_NEG,100.00247400403475,100.30685,NA,16836371.39583633,12209295.382432435,NA
M101T928_NEG,100.93214513976287,928.396,NA,3510663.410272937,4265715.175371338,4124525.30088282
M101T78_NEG,101.02291522820985,78.14394999999999,18040787.718617845,30378049.809331257,15484358.875679694,19642636.036220312
M102T253_NEG,101.90225606971865,252.535,NA,254990.73993750094,550226.8936911064,NA
M102T937_NEG,101.95041316839561,937.4715,547528.2827450259,515363.51101301727,427901.8620820298,506711.37660156336
M102T948_NEG,101.97942047593773,947.603,668080.4030033484,495323.07423046633,NA,546824.8507247602
M102T930_NEG,102.00827399612754,930.1949999999999,2689517.4412792944,2591385.5739473673,2421252.182346635,2551063.7481875005
M102T1076_NEG,102.01825141321075,1075.665,2166449.197458305,4148470.1887332653,3895946.7568209055,2561909.730321718
M102T988_NEG,102.01821821168093,987.6275,2763092.982833319,NA,NA,4821514.744117556
M102T67_NEG,102.0545400695461,67.0174,8080952.988814179,7465413.182751924,7734983.438304352,7981598.931462496
M103T728_NEG,102.8104783050861,727.74,259640.35501171934,289787.83833320404,292316.0269845524,273209.479649804
M103T65_NEG,102.95538995731975,64.53025,10742050.690791652,10571970.9119375,10757270.961741138,10459285.02059218
M103T78_NEG,103.00215478370741,77.7374,7014552.002436471,5622125.779165744,5510181.492512992,6756791.814224332
M103T785_NEG,103.03859806967967,784.5635,98778.39039198996,99989.35325859171,109759.18313672114,104446.36420312489
M103T398_NEG,103.0385274401859,398.384,366059.29593749886,NA,NA,466649.6935406284
M103T113_NEG,103.03858588621047,112.9745,1560897.9113120192,1206110.214220238,NA,NA
M103T67_NEG,103.05792752568368,66.99775,NA,252455.09500781252,213005.6359940628,NA
M104T969_NEG,103.91882749057385,969.283,47801205.16376368,43789432.64842828,38113475.05452991,49146378.09818041
M104T1053_NEG,103.91881414946646,1053.18,NA,8819188.37666671,7624732.4115761565,5440894.919179684
M104T940_NEG,103.9188234958738,939.919,NA,3186505.5722012897,2849486.570303919,NA
M104T65_NEG,104.03388879825448,65.3598,25868963.86221871,27492160.139882803,24865212.53951432,25689549.467231397
M104T939_NEG,104.03392752632934,939.1424999999999,NA,361021.47323844075,NA,423792.2986488165
M105T65_NEG,104.95239038389678,64.5439,3378817.2262499956,NA,3188830.1937800045,3348518.724740003
M105T73_NEG,105.01785834987646,72.57339999999999,15016742.135630097,14049735.57532087,18238331.552336838,16561482.586545188
M106T971_NEG,105.93448312883609,971.048,7096596.049023428,5740302.959093756,6082548.64518479,5297877.120082215
M106T1011_NEG,105.93445634605133,1011.275,1252983.5168055617,1457354.6689062438,2101586.8682160545,1380782.8824794416
M106T1030_NEG,105.93444428295987,1029.795,1078324.638168408,1192205.7665802569,1000493.5185546931,1009918.8805147082
M106T1075_NEG,105.9344357275042,1074.685,982511.6634019896,880722.1862890666,560813.0225751193,513007.3647385804
M106T1045_NEG,105.93442720774925,1044.7150000000001,763216.3650669584,NA,955952.5771998356,NA
M106T1056_NEG,105.9344353924428,1056.0349999999999,NA,838489.2229132402,NA,823252.1983680596
M106T100_NEG,105.95897951829261,100.305,1214225.4501657712,972383.3415363284,970493.5375286922,626735.3980499997
M106T930_NEG,106.00328078743644,930.1949999999999,20896673.681139275,29064246.078325912,33206608.68952622,29901012.26378905
M106T961_NEG,106.03958255399102,961.366,NA,32531827.051106513,25509094.064869206,35262110.53104755
M107T978_NEG,107.02372404161387,978.432,NA,11936965.781807698,10024073.450539066,NA
M108T932_NEG,107.99514117105029,931.683,NA,1924837.3751354115,2102599.3572905753,1931258.3715970025
M108T217_NEG,108.01902456103718,217.37349999999998,2507074.880330164,2220504.03635981,2472727.7607421866,5112550.243810762
M109T398_NEG,108.57155237036358,398.348,308116.1161093742,342368.1276688057,274445.8877135416,NA
M109T693_NEG,108.61359493638501,693.079,62719.206843261665,NA,57921.10731835928,61228.8436289065
M109T932_1_NEG,108.72700156819842,931.8165,863325.3614269726,1242886.4776395604,1208349.492939144,1357135.2196116939
M109T931_1_NEG,108.88564768587096,931.151,NA,1477412.291039064,1813686.1332488325,1989193.0369292672
M109T65_NEG,108.90061818766368,64.9297,8974196.248203976,9458722.567261182,9473492.925061332,9355745.654448895
M109T932_2_NEG,109.00286867670206,931.8165,722350988.029124,745983309.8966364,553708199.1577938,771013285.9390992
M109T957_NEG,109.00287629714245,956.7185,189784787.56485182,181071829.36900166,180555760.0860385,179166151.6542993
M109T797_NEG,109.00287069113811,796.9045,1213833683.693102,907409194.0248047,1122389464.2254615,906278359.4776301
M109T851_NEG,109.00286435676264,851.373,407290306.5119266,366335910.8229565,NA,211926925.7710756
M109T903_NEG,109.0028852626602,903.246,282011030.7734999,253643999.62199998,NA,334626263.7526679
M109T838_NEG,109.00283143468832,838.398,NA,NA,235198574.49779993,233593074.91246843
M109T883_NEG,109.00283885265826,883.313,NA,236803188.2118592,NA,262798661.36499882
M109T71_NEG,109.01124332299224,70.51445000000001,2639307.6663622176,2557870.791245235,2936628.8561266265,2857173.582208413
M109T86_NEG,109.01124097608607,85.5041,1869853.8613062496,2290344.787834247,1798818.80033482,2196518.2050000005
M109T983_NEG,109.03930520140302,983.0995,10530791.128571415,10831335.45135085,11099594.973778648,7107939.247294628
M109T1051_NEG,109.03930185421078,1051.22,3678349.6713051256,5927844.9139000075,5788307.993964806,6018615.995581887
M109T1079_NEG,109.03929130595174,1078.52,2014332.2839285557,NA,4050227.6613333537,1933535.8241072036
M109T1031_NEG,109.0392901543086,1031.33,4417479.793489574,3569510.0614479347,4249314.828281283,NA
M109T931_2_NEG,109.11934559207577,931.258,NA,NA,1793418.496792079,1930906.0234079787
M109T932_3_NEG,109.27970265210175,931.636,711690.3541914079,NA,751580.0436336754,1456600.3743564098
M110T694_NEG,109.99820686403099,693.8534999999999,NA,NA,494978.9686523438,334271.46225937636
M110T932_NEG,110.00621934941037,931.8165,29880935.947881293,34676347.231738046,32308956.082882676,32808186.705519866
M110T955_NEG,110.00623075568251,954.625,7365029.670740908,6833051.341145995,6836508.654129024,6603571.117931917
M110T972_NEG,110.03464241937927,972.4645,NA,NA,754155.8993718766,980627.717021483
M111T68_NEG,110.98384381830331,67.7164,8101444.178178398,NA,10618122.673496597,5141785.872656249
M111T76_NEG,111.00727152358111,76.4904,88093428.44666411,80667761.65132964,84985869.5337219,NA
M111T126_NEG,111.0185410755926,126.205,NA,12938644.16776823,NA,14904136.549789434
M112T251_NEG,111.7644883269661,251.322,10258786.531438591,10502203.933714088,10047735.14939919,10098432.73647046
M112T764_1_NEG,112.17404439858396,763.9145,249574.36335937455,204925.95650032538,233002.51488737046,181464.01317954852
M112T254_NEG,112.26359201497675,253.785,310518.07289648557,501719.66407686024,443164.25504785194,393496.2587389716
M112T764_2_NEG,112.28550175496467,763.9145,127060.45057031472,112556.82133447258,121204.34728043654,80593.355226564
M113T64_NEG,112.98432771897329,63.7151,40787726.22374998,41248687.09105621,42035607.349200055,40813090.48463641
M113T67_NEG,113.02302306513357,67.36644999999999,597070.7781999997,NA,751340.0061865605,NA
M114T544_NEG,113.99446188674497,543.981,1142847.9771750018,1110741.2333499766,1067695.1338750017,1176829.984068745
M114T986_NEG,114.0182149746637,985.97,8716759.573729683,7105971.2617783705,7918027.312799802,7835379.925177777
M114T1077_NEG,114.01821369009184,1077.04,4530908.995898406,5617578.928125044,4354912.482961652,3672592.4717969093
M114T1047_NEG,114.01821611425544,1047.225,NA,4070793.7489062324,3265621.7004503487,NA
M114T1028_NEG,114.01822913177298,1028.165,NA,3437793.6525275535,5272229.747118054,NA
M115T100_1_NEG,114.7035673432937,100.305,927295.1032505055,1466776.825425811,1865186.3061809894,1984363.5167750753
M115T100_2_NEG,114.87537940938657,99.86775,NA,2181079.478344792,NA,2451631.8136256263
M115T930_NEG,114.93269268267368,930.1949999999999,13720753.301181842,17515032.79442311,18784154.510902606,19890834.069014397
M115T949_NEG,114.93271251823221,949.0635,11259504.997855656,11212274.474499961,11355078.398861852,14617792.95845261
M115T776_NEG,114.93269053816644,776.364,6667798.8852344,NA,7146757.583484993,5426409.545966915
M115T61_NEG,114.98745174572687,61.32899999999999,2236461.439781251,2220303.1491132844,2104279.255435548,2127538.5836234386
M115T432_NEG,115.00228053954386,431.6845,14837913.504180044,14629541.841752145,14438589.169528106,15078339.819215622
M115T100_3_NEG,115.00227052510243,100.305,1010170032.7648697,1022084911.5657375,1017819509.1897843,998488650.4210285
M115T451_NEG,115.00232477995567,450.7325,NA,NA,6044471.606640634,5860496.581178313
M115T470_NEG,115.00225103107923,470.3405,NA,856967.3625562454,NA,911729.9991937503
M115T100_4_NEG,115.30245637939224,100.305,1168515.0561643892,1435394.6741981998,1131715.0040394173,1356159.7227889912
M116T462_NEG,115.5245323302145,461.638,68438.49086938522,74230.71964094981,NA,72933.12923055007
M116T126_NEG,115.91924293446488,126.1995,15347936.707750002,9681882.758015051,7489859.110413462,5840190.861468749
M116T902_NEG,115.91942664804381,902.194,107935241.3244909,32353867.94328576,28542093.0413263,27749732.041852955
M116T949_NEG,115.91941950855104,949.0635,6425953.8942691,7692834.214974986,8448586.664926805,8471507.368514674
M116T777_NEG,115.91933913081672,776.559,12053501.007058859,12620797.79822793,13226166.06624181,12270921.9976103
M116T929_NEG,115.9194319171334,929.227,NA,19886869.423480783,21700997.600906335,21592058.1323798
